ingénierie des systèmes,locution nominale féminine,Définitions,INFORM. Profession qui consiste en la conception et la réalisation de systèmes informatiques qui répondent à des besoins spécifiques.
désormais,adverbe,Définitions,"À partir de maintenant ; à l’avenir, dorénavant."
ailleurs,adverbe,Définitions,"Dans un lieu autre que celui où on se trouve ou dont on parle. • D’ailleurs ⁠: d’un autre lieu. • FIG. Dans un état de rêverie, de distraction."
craindre,verbe,Définitions,Avoir une émotion désagréable due au fait qu’on croit ne pas pouvoir échapper à une situation considérée probable ; éprouver de l’inquiétude. • Risquer une détérioration par. • Craindre pour…
menacer,verbe,Définitions,"Chercher à effrayer (quelqu’un) par des paroles ou des actes menaçants. • (En parlant d’une chose) Représenter un danger imminent pour (quelqu’un), être à craindre…"
mensonge,nom masculin,Définitions,"Action de mentir. • Affirmation faite lors de cette action. • Fiction, en art. • Illusion."
virement,nom masculin,Définitions,"FIN. Transfert de fonds d’un compte à un autre, d’un chapitre budgétaire à un autre. • MAR. Action de virer de bord."
frais,nom masculin pluriel,Définitions,"Dépenses d’argent occasionnées par une opération quelconque, coûts. • Somme attribuée afin de payer certains coûts. • ÉCON. Ensemble des dépenses et des charges engagées pour la création et le fonctionnement…"
en avoir marre,locution verbale,Définitions,"FAM. Être excédé, ne plus supporter quelque chose."
coupure,nom féminin,Définitions,"Blessure causée par un instrument tranchant. • Brèche dans une matière solide. • PAR EXT., RARE Morceau découpé d’une matière. • SPÉCIAL. Article de journal, de revue découpé et conservé à part. • Billet…"
quant à,locution prépositionnelle,Définitions,"Quant à X, P ⁠: le fait concernant la personne précédente ayant été énoncé, je l’oppose au fait P concernant la personne X. • Le locuteur considérant maintenant la situation au point de vue X, énonce…"
d’abord,locution adverbiale,Définitions,(Dans une succession) La première chose faite ou à faire est cela. • Fondamentalement. • FAM. S’emploie pour renforcer une affirmation. • SOUT. Dès le premier abord…
faux,adjectif,Définitions,"Qui est contraire à la vérité, à la réalité. • Qui imite quelque chose, lui ressemble, mais qui n’est pas conforme à son apparence. • Qui n’est pas réellement ce dont il porte le nom. • Fausse fenêtre…"
ravi,adjectif,Définitions,"Très content, heureux."
combine,nom féminin,Définitions,"FAM. Moyen habile, ingénieux et plus ou moins honnête employé pour arriver à ses fins. • QUÉB., FAM. Sous-vêtement masculin d’une seule pièce couvrant le corps du cou aux chevilles."
exiger,verbe,Définitions,Demander de façon impérieuse ; réclamer (ce à quoi on croit avoir droit). • Rendre nécessaire ; demander. • Exiger que ⁠: nécessiter que.
bâtir,verbe,Définitions,"Fabriquer quelque chose sur le sol en assemblant des matériaux selon un plan déterminé. • FIG. Établir, fonder sur des bases quelconques, selon un projet défini. • Assembler provisoirement des pièces…"
pierre,nom féminin,Définitions,"Matière minérale dure et solide, formant des masses compactes à l’intérieur ou à la surface de l’écorce terrestre. • Morceau de cette matière. • Morceau de cette matière utilisé pour bâtir, pour construire…"
bois,nom masculin,Définitions,"Lieu couvert d’arbres. • Les bois ⁠: la forêt. • Ensemble d’arbres. • Matière compacte et ligneuse composant le tronc, les branches et les racines des arbres. • Objet ou partie d’un objet fait à partir…"
ouvrier,nom,Définitions,"Personne salariée exécutant un travail manuel de production pour le compte d’un employeur. • Personne considérée sous l’aspect de la qualité de son travail, de la connaissance de son métier. • SOUT. Agent…"
chantier,nom masculin,Définitions,"Endroit où ont lieu des travaux de construction, de réparation, etc. • Lieu où des matériaux de construction sont entreposés. • FAM. Lieu où règne un grand désordre. • QUÉB. Exploitation forestière, camp…"
résiliation,nom féminin,Définitions,DR. Action de résilier.
échéance,nom féminin,Définitions,"Date à laquelle se termine un délai, à laquelle est exigible une dette, un paiement, à laquelle une obligation doit être exécutée. • Ensemble des effets à régler, des règlements qui doivent être effectués…"
santé,nom féminin,Définitions,"Fonctionnement général de l’organisme d’un être humain. • Fonctionnement général de l’organisme d’un être vivant, notamment d’un animal supérieur. • Bon fonctionnement général de l’organisme d’un être…"
tenter,verbe,Définitions,"Éveiller l’intérêt, l’envie de ; plaire à. • Inciter à faire un acte répréhensible. • VX Éprouver. • Entreprendre avec l’intention de réussir. • Tenter de (+ infinitif)…"
vestiaire,nom masculin,Définitions,"Endroit où l’on peut déposer les vêtements d’extérieur et certains objets (parapluie, canne, etc.) dans certains établissements publics. • Vêtements, objets déposés dans cet endroit. • Espace d’une habitation…"
prouesse,nom féminin,Définitions,"Acte de courage, de bravoure. • Exploit, action remarquable."
subalterne,adjectif,Définitions,ADMIN. Qui occupe un rang inférieur dans une hiérarchie administrative ; qui est subordonné à quelqu’un. • Relatif à ce rang inférieur.
lâcher,verbe,Définitions,"Rendre moins tendu ; desserrer. • Cesser de tenir. • PAR EXT. Laisser échapper ; lancer de façon incongrue. • CHASSE Envoyer à la poursuite d’une proie. • FAM. Délaisser, abandonner brusquement. • SPORTS…"
apaiser,verbe,Définitions,"Amener (quelqu’un) à des dispositions plus favorables, calmer. • Faire cesser (un besoin, un sentiment). • S’apaiser ⁠: devenir calme, paisible."
colère,nom féminin,Définitions,"Réaction violente et passagère, accompagnée d’agressivité, due à un profond mécontentement. • Crise de colère. • FIG. Violence des éléments."
sereinement,adverbe,Définitions,"D’une manière sereine, avec calme, quiétude."
toutefois,adverbe,Définitions,"S’emploie pour marquer une restriction, une opposition atténuée ; cependant. • Après avoir considéré toutes les raisons, toutes les circonstances et malgré elles."
exigence,nom féminin,Définitions,"Ce qui est exigé. • Exigences ⁠: somme d’argent que l’on demande comme salaire. • Caractère d’une personne exigeante. • Exigences ⁠: ce qui doit se faire, qui doit être respecté, etc."
matériel,adjectif,Définitions,"Qui est constitué de matière ; qui est de la nature de la matière. • Relatif aux objets et non aux personnes. • Qui est relatif à la réalité concrète, objective. • Qui est considéré d’un point de vue…"
hâter,verbe,Définitions,"Accélérer, rendre plus rapide. • SOUT. Faire arriver plus tôt, plus rapidement. • Se hâter ⁠: faire vite, se dépêcher. • Se hâter de, à (+ infinitif)…"
